MovieID,Title,Genres,Directors,Cast,Runtimes,Production_companies
15,Cutthroat Island (1995),Action|Adventure|Romance,Renny Harlin,"Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin, Patrick Malahide",124,"Beckner/Gorman Productions, Canal+, Carolco Pictures, Cutthroat Productions, Forge, Guild, Laurence Mark Productions, Metro-Goldwyn-Mayer, RCS Video, Tele-Communications Inc."
16,Casino (1995),Drama|Thriller,Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods, Don Rickles",178,"Universal Pictures, Syalis DA, Légende Entreprises, De Fina-Cappa, GGG"
17,Sense and Sensibility (1995),Drama|Romance,Ang Lee,"James Fleet, Tom Wilkinson, Harriet Walter, Kate Winslet, Emma Thompson",136,"Columbia Pictures, Mirage Enterprises"
18,Four Rooms (1995),Thriller,"Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino, Chuck Jones","Sammi Davis, Amanda De Cadenet, Valeria Golino, Madonna, Ione Skye",98,"Miramax, A Band Apart"
19,Ace Ventura: When Nature Calls (1995),Comedy,Steve Oedekerk,"Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi, Bob Gunton",90,"Morgan Creek Entertainment, Morgan Creek Productions, O Entertainment"
20,Money Train (1995),Action,Joseph Ruben,"Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake, Chris Cooper",110,"Columbia Pictures, Peters Entertainment"
21,Get Shorty (1995),Action|Comedy|Drama,Barry Sonnenfeld,"John Travolta, Gene Hackman, Rene Russo, Danny DeVito, Dennis Farina",105,"Metro-Goldwyn-Mayer (MGM), Jersey Films"
22,Copycat (1995),Crime|Drama|Thriller,Jon Amiel,"Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara, Harry Connick Jr.",123,New Regency Productions
23,Assassins (1995),Thriller,Richard Donner,"Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov, Muse Watson",133,"Warner Bros., Silver Pictures, Donner/Shuler-Donner Productions, Canal+, Dino De Laurentiis Company, Evansgideon/Lazar"
24,Powder (1995),Drama|Sci-Fi,Victor Salva,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum, Brandon Smith",111,"Hollywood Pictures, Caravan Pictures, Daniel Grodnik Productions, Itasca Pictures"
25,Leaving Las Vegas (1995),Drama|Romance,Mike Figgis,"Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis, Steven Weber",111,"Lumiere Pictures, Initial Productions"
26,Othello (1995),Drama,Oliver Parker,"Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker, Michael Maloney",123,"Castle Rock Entertainment, Dakota Films, Imminent Film Productions, Polyphony Digital"
27,Now and Then (1995),Drama,Lesli Linka Glatter,"Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith, Gaby Hoffmann",102,"New Line Cinema, Moving Pictures, First Independent Films"
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,"Marc Caro, Jean-Pierre Jeunet","Ron Perlman, Daniel Emilfork, Judith Vittet, Dominique Pinon, Jean-Claude Dreyfus",112,"Constellation, Lumière Pictures, Le Studio Canal+, France 3 Cinéma, Centre national du cinéma et de l'image animée (CNC), Cofimage 4, Cofimage 5, Studio Image Canal, Société des Producteurs de Cinéma et de Télévision (Procirep), Elías Querejeta Producciones Cinematográficas, Tele München Fernseh Produktionsgesellschaft (TMG), Eurimages, Club d'Investissement Média, MEDIA Programme of the European Union"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,Yimou Zhang,"Gong Li, Baotian Li, Xiaoxiao Wang, Xuejian Li, Chun Sun",108,"Alpha Films, La Sept Cinéma, Ministère des Affaires étrangères et du Développement International, Shanghai Film Studio, Union Générale Cinématographique"
31,Dangerous Minds (1995),Drama,John N. Smith,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett, Beatrice Winde",99,"Hollywood Pictures, Don Simpson/Jerry Bruckheimer Films, Via Rosa Productions"
32,Twelve Monkeys (1995),Drama|Sci-Fi,Terry Gilliam,"Joseph Melito, Bruce Willis, Jon Seda, Michael Chance, Vernon Campbell",129,"Universal Pictures, Atlas Entertainment, Classico"
33,Wings of Courage (1995),Adventure|Romance,Jean-Jacques Annaud,"Craig Sheffer, Tom Hulce, Elizabeth McGovern, Val Kilmer, Ken Pogue",50,Iwerks Entertainment
34,Babe (1995),Children's|Comedy|Drama,Chris Noonan,"Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving, Miriam Flynn",91,"Universal Pictures, Kennedy Miller Productions"
35,Carrington (1995),Drama|Romance,Christopher Hampton,"Emma Thompson, Jonathan Pryce, Steven Waddington, Samuel West, Rufus Sewell",121,"PolyGram Filmed Entertainment, Freeway Films, Cinéa, Orsans Productions, StudioCanal, Euston Films, European Co-production Fund"
36,Dead Man Walking (1995),Drama,Tim Robbins,"Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry, R. Lee Ermey",122,"Havoc, Polygram Filmed Entertainment, Working Title Films"
37,Across the Sea of Time (1995),Documentary,Stephen Low,"Peter Reznick, John McDonough, Avi Hoffman, Victor Steinbach, Peter Boyden",51,Sony New Technologies
38,It Takes Two (1995),Comedy,Andy Tennant,"Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen, Ashley Olsen, Philip Bosco",101,"Dualstar Productions, Orr & Cruickshank, Rysher Entertainment"
39,Clueless (1995),Comedy|Romance,Amy Heckerling,"Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd, Donald Faison",97,"Paramount Pictures, Robert Lawrence Productions, Scott Rudin Productions"
40,"Cry, the Beloved Country (1995)",Drama,Darrell Roodt,"James Earl Jones, Richard Harris, Vusi Kunene, Charles S. Dutton, Tsholofelo Wechoemang",106,"Alpine Pty Limited, Distant Horizon, Miramax, Videovision Entertainment"
41,Richard III (1995),Drama|War,Richard Loncraine,"Christopher Bowen, Edward Jewesbury, Ian McKellen, Bill Paterson, Annette Bening",110,"Mayfair Entertainment International, British Screen Productions, Bayly/Paré Productions, United Artists Pictures, First Look International"
42,Dead Presidents (1995),Action|Crime|Drama,"Albert Hughes, Allen Hughes","Larenz Tate, Keith David, Chris Tucker, Freddy Rodríguez, Rose Jackson",119,"Hollywood Pictures, Caravan Pictures, Underworld Entertainment"
43,Restoration (1995),Drama,Michael Hoffman,"Robert Downey Jr., Sam Neill, David Thewlis, Polly Walker, Meg Ryan",117,"Avenue Pictures, Miramax, Segue Productions, The Oxford Film Company"
44,Mortal Kombat (1995),Action|Adventure,Paul W.S. Anderson,"Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa, Bridgette Wilson-Sampras",101,"New Line Cinema, Threshold Entertainment"
45,To Die For (1995),Comedy|Drama,Gus Van Sant,"Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck, Illeana Douglas",106,"Columbia Pictures, Laura Ziskin Productions, The Rank Organisation"
46,How to Make an American Quilt (1995),Drama|Romance,Jocelyn Moorhouse,"Kaelynn Craddick, Sara Craddick, Kate Capshaw, Adam Baldwin, Winona Ryder",117,"Universal Pictures, Amblin Entertainment"
47,Seven (Se7en) (1995),Crime|Thriller,David Fincher,"Morgan Freeman, Andrew Kevin Walker, Daniel Zacapa, Brad Pitt, Gwyneth Paltrow",127,"Cecchi Gori Pictures, Juno Pix, New Line Cinema"
48,Pocahontas (1995),Animation|Children's|Musical|Romance,"Mike Gabriel, Eric Goldberg","Joe Baker, Christian Bale, Irene Bedard, Billy Connolly, James Apaumut Fall",81,"Walt Disney Pictures, Walt Disney Animation Studios"
49,When Night Is Falling (1995),Drama|Romance,Patricia Rozema,"Pascale Bussières, Rachael Crawford, Henry Czerny, David Fox, Don McKellar",94,"Alliance Communications Corporation, Crucial Pictures, Ontario Film Development Corporation, Téléfilm Canada"
50,"Usual Suspects, The (1995)",Crime|Thriller,Bryan Singer,"Stephen Baldwin, Gabriel Byrne, Benicio Del Toro, Kevin Pollak, Kevin Spacey",106,"PolyGram Filmed Entertainment, Spelling Films International, Blue Parrot, Bad Hat Harry Productions, Rosco Film GmbH"
51,Guardian Angel (1994),Action|Drama|Thriller,Richard W. Munchkin,"Cynthia Rothrock, Daniel McVicar, Lydie Denier, Marshall R. Teague, Ken McLeod",97,PM Entertainment Group
52,Mighty Aphrodite (1995),Comedy,Woody Allen,"Pamela Blair, Rene Ceballos, Elie Chaib, George De La Pena, Joanne DiMauro",95,"Sweetland Films, Magnolia Pictures, Miramax"
53,Lamerica (1994),Drama,Gianni Amelio,"Enrico Lo Verso, Michele Placido, Piro Milkani, Carmelo Di Mazzarelli, Elida Janushi",116,"Alia Film, Cecchi Gori Group Tiger Cinematografica, Arena Films, Rai 1, Canal+, Vega Film, Centre national du cinéma et de l'image animée (CNC), Eurimages"
54,"Big Green, The (1995)",Children's|Comedy,Holly Goldberg Sloan,"Steve Guttenberg, Olivia d'Abo, Jay O. Sanders, John Terry, Chauncey Leopardi",100,"Caravan Pictures, Walt Disney Pictures"
55,Georgia (1995),Drama,Ulu Grosbard,"Jennifer Jason Leigh, Mare Winningham, Ted Levine, Max Perlich, John Doe",115,"CiBy 2000, Miramax"
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,Robert Tinnell,"Johnny Morina, Maggie Castle, Christopher Olscamp, Justin Borntraeger, Billy Coyle",89,"Malofilm Communications Inc., Melenny Productions, Téléfilm Canada"
57,Home for the Holidays (1995),Drama,Jodie Foster,"Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning, Dylan McDermott",103,"Paramount Pictures, Polygram Filmed Entertainment, Egg Pictures, Skywalker Sound"
58,"Postino, Il (The Postman) (1994)",Drama|Romance,"Michael Radford, Massimo Troisi","Philippe Noiret, Massimo Troisi, Maria Grazia Cucinotta, Renato Scarpa, Linda Moretti",108,"Cecchi Gori Group Tiger Cinematografica, Penta Distribuzione, Esterno Mediterraneo Film, Blue Dahlia Productions, K2 Two, Canal+"
59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,Robert Lepage,"Lothaire Bluteau, Patrick Goyette, Jean-Louis Millette, Kristin Scott Thomas, Ron Burrage",100,"Canal+ Productions, Centre national du cinéma et de l'image animée (CNC), Channel Four Films, Cinéa, Cinémaginaire Inc., Enigma Productions, European Co-production Fund, Gouvernement du Québec, Société Générale des Industries Culturelles du Québec (SOGIC), Téléfilm Canada"
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,Frank Oz,"Hal Scardino, Litefoot, Lindsay Crouse, Richard Jenkins, Rishi Bhat",96,"Columbia Pictures, Jane Startz Productions, Paramount Pictures, Reliable Pictures Corporation, Scholastic Productions, The Kennedy/Marshall Company"
61,Eye for an Eye (1996),Drama|Thriller,John Schlesinger,"Sally Field, Ed Harris, Olivia Burnette, Alexandra Kyle, Kiefer Sutherland",101,Paramount Pictures
62,Mr. Holland's Opus (1995),Drama,Stephen Herek,"Richard Dreyfuss, Glenne Headly, Jay Thomas, Olympia Dukakis, William H. Macy",143,"Hollywood Pictures, Interscope Communications, Polygram Filmed Entertainment, The Charlie Mopic Company"
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,Paris Barclay,"Shawn Wayans, Marlon Wayans, Tracey Cherelle Jones, Chris Spencer, Suli McCullough",89,"Island Pictures, Ivory Way Productions"
64,Two if by Sea (1996),Comedy|Romance,Bill Bennett,"Denis Leary, Sandra Bullock, Stephen Dillane, Yaphet Kotto, Mike Starr",96,Morgan Creek Entertainment
65,Bio-Dome (1996),Comedy,Jason Bloom,"William Atherton, Denise Dowse, Dara Tomanovich, Kevin West, Kylie Minogue",88,"Metro-Goldwyn-Mayer (MGM), Motion Picture Corporation of America (MPCA), 3 Arts Entertainment, Weasel Productions"
67,Two Bits (1995),Drama,James Foley,"Jerry Barone, Mary Elizabeth Mastrantonio, Al Pacino, Patrick Borriello, Andy Romano",85,"Miramax, Arthur Cohn Productions, Capella Films, Connexion Film Productions"
68,French Twist (Gazon maudit) (1995),Comedy|Romance,Josiane Balasko,"Victoria Abril, Josiane Balasko, Alain Chabat, Ticky Holgado, Catherine Hiegel",104,"Canal+, Les Films Flam, Renn Productions, TF1 Films Production"
69,Friday (1995),Comedy,F. Gary Gray,"Ice Cube, Chris Tucker, Nia Long, Tom Lister Jr., John Witherspoon",91,"New Line Cinema, Priority Films"
70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,Robert Rodriguez,"George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis, Ernest Liu",108,"Dimension Films, A Band Apart, Los Hooligans Productions, Miramax"
71,Fair Game (1995),Action,Andrew Sipes,"William Baldwin, Cindy Crawford, Steven Berkoff, Christopher McDonald, Miguel Sandoval",91,"Warner Bros., Silver Pictures, Warner Bros."
72,Kicking and Screaming (1995),Comedy|Drama,Noah Baumbach,"Josh Hamilton, Samuel Gould, Catherine Kellner, Jonathan Baumbach, John Lehr",96,"Trimark Pictures, Castleberg Productions, Sandollar Productions"
73,"Misérables, Les (1995)",Drama|Musical,Claude Lelouch,"Jean-Paul Belmondo, Michel Boujenah, Alessandra Martines, Salomé Lelouch, Annie Girardot",175,"Les Films 13, TF1 Films Production, Canal+, Région Franche-Comté"
74,Bed of Roses (1996),Drama|Romance,Michael Goldenberg,"Christian Slater, Mary Stuart Masterson, Pamela Adlon, Josh Brolin, Brian Tarantina",87,"Juno Pix, New Line Cinema"
75,Big Bully (1996),Comedy|Drama,Steve Miner,"Rick Moranis, Tom Arnold, Julianne Phillips, Carol Kane, Jeffrey Tambor",90,"Morgan Creek Entertainment, Lee Rich Productions"
76,Screamers (1995),Sci-Fi|Thriller,Christian Duguay,"Peter Weller, Roy Dupuis, Jennifer Rubin, Andy Lauer, Charles Edwin Powell",108,"Triumph Films, Fuji Eight Company Ltd., Fries Film Group, Allegro Films, Super Ecran, The Movie Network"
77,Nico Icon (1995),Documentary,Susanne Ofteringer,"Nico, Tina Aumont, Christian Päffgen, Edith Boulogne, Jackson Browne",70,"Bluehorse Films, CIAK Filmproduktion, Zweites Deutsches Fernsehen"
78,"Crossing Guard, The (1995)",Drama,Sean Penn,"Jack Nicholson, David Morse, Anjelica Huston, Robin Wright, Piper Laurie",111,Miramax
79,"Juror, The (1996)",Drama|Thriller,Brian Gibson,"Demi Moore, Alec Baldwin, Joseph Gordon-Levitt, James Gandolfini, Lindsay Crouse",118,Columbia Pictures
80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,Jafar Panahi,"Aida Mohammadkhani, Mohsen Kafili, Fereshteh Sadre Orafaiy, Anna Borkowska, Mohammad Shahani",85,"Farabi Cinema Foundation, Ferdos Films, I.R.I.B. Channel 2"
81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,Gary Fleder,"Andy Garcia, Christopher Lloyd, William Forsythe, Bill Nunn, Treat Williams",115,"Miramax, Woods Entertainment"
82,Antonia's Line (Antonia) (1995),Drama,Marleen Gorris,"Willeke van Ammelrooy, Els Dottermans, Dora van der Groen, Veerle van Overloop, Esther Vriesendorp",102,"Bergen, Prime Time, Bard Entertainments, Nederlandse Programma Stichting (NPS), Stimuleringsfonds Nederlandse Culturele Omroepproducties, Co-Productiefonds Binnenlandse Omroep, Meteor Film Productions, Nederlands Filmfonds, Fonds Film in Vlaanderen, Eurimages, Investco NV, European Co-production Fund"
83,Once Upon a Time... When We Were Colored (1995),Drama,Tim Reid,"Al Freeman Jr., Phylicia Rashad, Leon, Paula Kelly, Salli Richardson-Whitfield",115,"BET Pictures, United Image Entertainment"
84,Last Summer in the Hamptons (1995),Comedy|Drama,Henry Jaglom,"Victoria Foyt, Viveca Lindfors, Jon Robin Baitz, Savannah Smith Boucher, Roscoe Lee Browne",108,"Jagtoria Films, The Rainbow Film Company"
85,Angels and Insects (1995),Drama|Romance,Philip Haas,"Mark Rylance, Kristin Scott Thomas, Patsy Kensit, Jeremy Kemp, Douglas Henshall",116,"Playhouse International Pictures, The Samuel Goldwyn Company"
86,White Squall (1996),Adventure|Drama,Ridley Scott,"Jeff Bridges, Caroline Goodall, John Savage, Scott Wolf, Jeremy Sisto",129,"Hollywood Pictures, Largo Entertainment, Scott Free Productions, Rocky Lang Productions"
87,Dunston Checks In (1996),Children's|Comedy,Ken Kwapis,"Jason Alexander, Faye Dunaway, Eric Lloyd, Rupert Everett, Graham Sack",88,"Joe Wizan/Todd Black, Twentieth Century Fox"
88,Black Sheep (1996),Comedy,Penelope Spheeris,"Chris Farley, David Spade, Tim Matheson, Christine Ebersole, Gary Busey",87,"Broadway Pictures, Paramount Pictures"
89,Nick of Time (1995),Action|Thriller,John Badham,"Johnny Depp, Courtney Chase, Charles S. Dutton, Christopher Walken, Roma Maffia",90,Paramount Pictures
90,"Journey of August King, The (1995)",Drama,John Duigan,"Jason Patric, Thandiwe Newton, Larry Drake, Sam Waterston, Sarah-Jane Wylde",91,"Addis Wechsler Pictures, Miramax"
92,Mary Reilly (1996),Drama|Thriller,Stephen Frears,"Julia Roberts, John Malkovich, George Cole, Michael Gambon, Kathy Staff",108,"NFH Productions, TriStar Pictures"
94,Beautiful Girls (1996),Drama,Ted Demme,"Matt Dillon, Noah Emmerich, Annabeth Gish, Lauren Holly, Timothy Hutton",112,"Miramax, Woods Entertainment"
95,Broken Arrow (1996),Action|Thriller,John Woo,"John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo, Bob Gunton",108,"Twentieth Century Fox, Mark Gordon Productions, WCG Entertainment Productions"
96,In the Bleak Midwinter (1995),Comedy,Kenneth Branagh,"Richard Briers, Hetta Charnley, Joan Collins, Nicholas Farrell, Mark Hadfield",99,"Castle Rock Entertainment, Midwinter Films"
97,"Hate (Haine, La) (1995)",Drama,Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili, Solo",98,"Les Productions Lazennec, Le Studio Canal+, La Sept Cinéma, Kasso Inc. Productions, Cofimage 6, Studio Image, Canal+, Cofinergie 6, Egg Pictures, Polygram Filmed Entertainment"
98,Shopping (1994),Action|Thriller,Paul W.S. Anderson,"Sadie Frost, Jude Law, Sean Pertwee, Fraser James, Sean Bean",105,"Channel Four Films, Impact Pictures, Kuzui Enterprises., PolyGram Filmed Entertainment, Polyphony Digital, WMG Film"
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,Nick Broomfield,"Nick Broomfield, Nina Xining Zuo, Madam Alex, Corinne Bohrer, Mike Brambles",106,"British Broadcasting Corporation, Canadian Broadcasting Corporation, Cinemax Reel Life, InPictures, Lafayette Films, Westdeutscher Rundfunk"
100,City Hall (1996),Drama|Thriller,Harold Becker,"Al Pacino, John Cusack, Bridget Fonda, Danny Aiello, Martin Landau",111,Castle Rock Entertainment
101,Bottle Rocket (1996),Comedy,Wes Anderson,"Luke Wilson, Owen Wilson, Ned Dowd, Shea Fowler, Haley Miller",91,"Columbia Pictures, Gracie Films"
102,Mr. Wrong (1996),Comedy,Nick Castle,"Ellen DeGeneres, Bill Pullman, Joan Cusack, Dean Stockwell, Joan Plowright",96,"Touchstone Pictures, Mandeville Films, Marty Katz Productions"
103,Unforgettable (1996),Thriller,John Dahl,"Ray Liotta, Linda Fiorentino, Peter Coyote, Christopher McDonald, David Paymer",117,"Dino De Laurentiis Company, Metro-Goldwyn-Mayer, Spelling Films"
104,Happy Gilmore (1996),Comedy,Dennis Dugan,"Adam Sandler, Christopher McDonald, Julie Bowen, Frances Bay, Carl Weathers",92,"Universal Pictures, Brillstein-Grey Entertainment, Robert Simonds Productions"
105,"Bridges of Madison County, The (1995)",Drama|Romance,Clint Eastwood,"Clint Eastwood, Meryl Streep, Annie Corley, Victor Slezak, Jim Haynie",135,"Warner Bros., Amblin Entertainment, Malpaso Productions"
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,Doris Dörrie,"Maria Schrader, Pierre Sanoussi-Bliss, Michael von Au, Elisabeth Trissenaar, Ingo Naujoks",104,"Cobra Film GmbH, Zweites Deutsches Fernsehen"
107,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,Brian Henson,"Tim Curry, Billy Connolly, Jennifer Saunders, Kevin Bishop, Dave Goelz",99,"Walt Disney Pictures, Jim Henson Productions"
109,Headless Body in Topless Bar (1995),Comedy,James Bruce,"Raymond J. Barry, Rustam Branaman, Jennifer MacDonald, Taylor Nichols, David Selby",110,Green Tea Pictures
110,Braveheart (1995),Action|Drama|War,Mel Gibson,"James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo, Sean McGinley",178,"Icon Entertainment International, The Ladd Company, B.H. Finance C.V., Icon Productions"
111,Taxi Driver (1976),Drama|Thriller,Martin Scorsese,"Diahnne Abbott, Frank Adu, Victor Argo, Gino Ardito, Garth Avery",114,"Columbia Pictures, Bill/Phillips, Italo/Judeo Productions"
112,Rumble in the Bronx (1995),Action|Adventure|Crime,Stanley Tong,"Jackie Chan, Anita Mui, Françoise Yip, Bill Tung, Marc Akerstream",104,"Golden Harvest Company, Golden Way Films Ltd., Maple Ridge Films, Paragon Films Ltd., Toho-Towa"
113,Before and After (1996),Drama|Mystery,Barbet Schroeder,"Meryl Streep, Liam Neeson, Edward Furlong, Julia Weldon, Alfred Molina",108,"Hollywood Pictures, Caravan Pictures"
114,Margaret's Museum (1995),Drama,Mort Ransen,"Helena Bonham Carter, Clive Russell, Craig Olejnik, Kate Nelligan, Kenneth Welsh",114,"British Screen Productions, Ciné Télé Action, Glace Bay Pictures, Malofilm, National Film Board of Canada, Nova Scotia Film Development Corporation, Ranfilm, Skyline Films, Société de Développement des Entreprises Culturelles, Téléfilm Canada, imX Communications"
115,Happiness Is in the Field (1995),Comedy,Étienne Chatiliez,"Michel Serrault, Eddy Mitchell, Sabine Azéma, Carmen Maura, François Morel",106,"Canal+, Téléma"
116,Anne Frank Remembered (1995),Documentary,Jon Blair,"Isa Baschwitz, Mary Bos, Kenneth Branagh, Janny Brandes-Brilslijper, Glenn Close",117,"The Jon Blair Film Company, British Broadcasting Corporation (BBC), Disney Channel, Anne Frank House"
117,"Young Poisoner's Handbook, The (1995)",Crime,Benjamin Ross,"Tobias Arnold, Ruth Sheen, Roger Lloyd Pack, Hugh O'Conor, Norman Caro",99,"British Screen Productions, Eurimages, FilmFernsehFonds Bayern, Haut et Court, Mass Productions, Pandora Cinema, Starhaus Filmproduktion"
118,If Lucy Fell (1996),Comedy|Romance,Eric Schaeffer,"Sarah Jessica Parker, Eric Schaeffer, Ben Stiller, Elle Macpherson, James Rebhorn",92,"Motion Picture Corporation of America, TriStar Pictures"
119,"Steal Big, Steal Little (1995)",Comedy,Andrew Davis,"Andy Garcia, Alan Arkin, Rachel Ticotin, Joe Pantoliano, Holland Taylor",135,"Chicago Pacific Entertainment, Savoy Pictures"
120,Race the Sun (1996),Drama,Charles T. Kanganis,"Halle Berry, Jim Belushi, Bill Hunter, Casey Affleck, Eliza Dushku",100,TriStar Pictures
121,"Boys of St. Vincent, The (1993)",Drama,John N. Smith,"Henry Czerny, Johnny Morina, Brian Dooley, Philip Dinn, Brian Dodd",93,"Ciné Télé Action, National Film Board of Canada (NFB), Canadian Broadcasting Corporation (CBC), Téléfilm Canada"
122,Boomerang (1992),Comedy|Romance,Reginald Hudlin,"Eddie Murphy, Robin Givens, Halle Berry, David Alan Grier, Martin Lawrence",117,"Paramount Pictures, Imagine Entertainment, Eddie Murphy Productions"
123,Chungking Express (1994),Drama|Mystery|Romance,Kar-Wai Wong,"Brigitte Lin, Tony Leung Chiu-wai, Faye Wong, Takeshi Kaneshiro, Valerie Chow",102,Jet Tone Production
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,Giuseppe Tornatore,"Sergio Castellitto, Tiziana Lodato, Franco Scaldati, Leopoldo Trieste, Clelia Rondinella",113,"Cecchi Gori Group Tiger Cinematografica, RAI Radiotelevisione Italiana"
125,Flirting With Disaster (1996),Comedy,David O. Russell,"Ben Stiller, Patricia Arquette, Téa Leoni, Mary Tyler Moore, George Segal",92,Miramax
126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,Peter MacDonald,"Jason James Richter, Melody Kay, Jack Black, Carole Finn, Ryan Bollman",95,"Cinevox Filmproduktion GmbH, Bibo TV Studiobetriebs, Dieter Geissler Filmproduktion, Media Investment Club, Studio Babelsberg, Videal GmbH, Warner Bros."
127,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama,Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine, Anthony Heald",118,"Strong Heart/Demme Production, Orion Pictures"
